HTL D0
pt v2
0.125 -0.0080
0.308 -0.0026
0.505 -0.0006
0.704 0.0021
0.902 0.0068
1.102 0.0132
1.301 0.0251
1.500 0.0374
1.797 0.0575
2.193 0.0811
2.591 0.1004
2.989 0.1146
3.388 0.1291
3.787 0.1319
4.419 0.1398
5.429 0.1369
6.773 0.1164
9.406 0.0976


HTL D+
pt v2
0.125 -0.0012
0.309 -0.0055
0.505 -0.0017
0.703 0.0047
0.902 0.0026
1.101 0.0148
1.301 0.0273
1.500 0.0381
1.797 0.0545
2.193 0.0767
2.591 0.0991
2.989 0.1124
3.388 0.1273
3.787 0.1289
4.419 0.1369
5.428 0.1325
6.773 0.1228
9.386 0.1072


HTL D_s+
pt v2
0.125 0.0070
0.308 -0.0026
0.505 0.0017
0.703 0.0017
0.902 0.0031
1.102 0.0102
1.301 0.0233
1.500 0.0320
1.798 0.0570
2.194 0.0807
2.591 0.1021
2.989 0.1204
3.388 0.1344
3.788 0.1441
4.416 0.1512
5.423 0.1540
6.749 0.1409
9.336 0.1138


HTL L_c+
pt v2
0.124 -0.0054
0.309 -0.0068
0.505 0.0020
0.704 -0.0011
0.903 0.0006
1.102 0.0004
1.302 0.0118
1.501 0.0198
1.802 0.0383
2.198 0.0681
2.594 0.0925
2.992 0.1148
3.390 0.1318
3.789 0.1432
4.423 0.1590
5.424 0.1588
6.736 0.1616
9.232 0.1503




latQCD D0
pt v2
0.124 0.0013
0.308 0.0015
0.505 0.0088
0.703 0.0138
0.901 0.0309
1.100 0.0441
1.300 0.0657
1.499 0.0906
1.792 0.1215
2.187 0.1640
2.586 0.1983
2.984 0.2070
3.386 0.2104
3.787 0.1809
4.429 0.1501
5.450 0.0934
6.853 0.0666
9.575 0.0299


latQCD D+
pt v2
0.125 -0.0081
0.308 0.0039
0.505 0.0046
0.703 0.0142
0.902 0.0281
1.101 0.0421
1.300 0.0614
1.499 0.0902
1.792 0.1205
2.188 0.1627
2.586 0.1932
2.984 0.2025
3.386 0.2009
3.785 0.1899
4.428 0.1587
5.449 0.0912
6.846 0.0604
9.527 0.0365


latQCD D_s+
pt v2
0.124 0.0165
0.308 0.0076
0.505 0.0030
0.702 0.0081
0.902 0.0211
1.101 0.0405
1.300 0.0600
1.499 0.0806
1.794 0.1144
2.189 0.1615
2.585 0.1939
2.985 0.2165
3.384 0.2203
3.784 0.1923
4.421 0.1789
5.446 0.1264
6.836 0.0949
9.552 0.0537


latQCD L_c+
pt v2
0.125 0.0246
0.309 -0.0123
0.505 0.0046
0.703 0.0125
0.902 0.0179
1.101 0.0192
1.301 0.0353
1.500 0.0581
1.797 0.0928
2.193 0.1315
2.590 0.1760
2.988 0.1955
3.386 0.2148
3.785 0.2180
4.423 0.1910
5.445 0.1465
6.800 0.1191
9.387 0.0944


